epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.64,1.96154,3.86687,1.8484,0.00199,0.39393,0.11452,0.06943,2.3183,3.88346,2.11544,0.000469328,0.000469328,0.000469328
2,50.5133,1.96993,3.21588,1.75181,0.53626,0.27254,0.25508,0.18428,2.29698,3.47859,2.24034,0.0009363,0.0009363,0.0009363
3,72.1815,1.96423,2.97888,1.7522,0.54868,0.3264,0.28417,0.19787,2.33358,3.08197,2.12775,0.00139384,0.00139384,0.00139384
4,93.3184,1.91266,2.76686,1.68688,0.49726,0.27589,0.23508,0.16534,2.26771,5.05145,2.02569,0.00138656,0.00138656,0.00138656
5,120.468,1.87052,2.58371,1.68688,0.63152,0.35055,0.30887,0.22456,2.27247,3.01397,2.11108,0.00137241,0.00137241,0.00137241
6,141.359,1.79024,2.44565,1.64253,0.55905,0.35497,0.3071,0.22005,2.15136,2.70889,1.93653,0.00135826,0.00135826,0.00135826
7,162.725,1.7169,2.35897,1.60484,0.57893,0.35507,0.29236,0.21967,2.1906,3.59049,1.99962,0.00134412,0.00134412,0.00134412
8,183.432,1.73634,2.26472,1.62231,0.62774,0.34147,0.30037,0.21567,2.15313,2.7188,1.9619,0.00132997,0.00132997,0.00132997
9,204.846,1.64524,2.19706,1.58912,0.6365,0.36959,0.32702,0.24953,2.40205,2.56814,2.06589,0.00131582,0.00131582,0.00131582
10,226.55,1.67079,2.14781,1.56707,0.63005,0.39703,0.35071,0.26031,1.96196,2.53342,1.86561,0.00130168,0.00130168,0.00130168
11,246.768,1.6568,2.13979,1.58586,0.64416,0.37674,0.34501,0.24644,1.99381,2.4929,1.85698,0.00128753,0.00128753,0.00128753
12,267.771,1.66422,2.14022,1.60437,0.62544,0.36741,0.32794,0.24358,2.10428,2.55803,1.85253,0.00127338,0.00127338,0.00127338
13,288.571,1.5954,2.04052,1.55547,0.62698,0.38126,0.34945,0.25798,2.0007,2.43454,1.86691,0.00125923,0.00125923,0.00125923
14,308.608,1.6596,2.12736,1.57589,0.60598,0.38061,0.3226,0.23521,2.08097,2.48257,1.88769,0.00124509,0.00124509,0.00124509
15,330.414,1.64355,2.06269,1.57893,0.63745,0.37618,0.3525,0.26519,1.97652,2.35441,1.83201,0.00123094,0.00123094,0.00123094
16,350.472,1.62394,1.99937,1.54031,0.61645,0.39004,0.35837,0.26898,2.14179,2.33297,1.95064,0.00121679,0.00121679,0.00121679
17,370.964,1.5646,1.96427,1.52559,0.62511,0.38685,0.36631,0.276,1.82721,2.30819,1.75041,0.00120265,0.00120265,0.00120265
18,390.856,1.50207,1.90773,1.50556,0.64811,0.38203,0.35336,0.25348,1.86264,2.28023,1.72846,0.0011885,0.0011885,0.0011885
19,411.598,1.54022,1.96247,1.51733,0.69837,0.36562,0.37279,0.26904,1.85499,2.27803,1.74474,0.00117435,0.00117435,0.00117435
20,431.399,1.53134,1.87778,1.52,0.65984,0.37685,0.3488,0.25277,1.85305,2.29397,1.79971,0.00116021,0.00116021,0.00116021
21,452.376,1.52667,1.90296,1.50926,0.62156,0.37439,0.36234,0.26779,1.80498,2.24635,1.72668,0.00114606,0.00114606,0.00114606
22,471.976,1.49078,1.82754,1.47676,0.66173,0.37013,0.38182,0.28465,1.82677,2.2757,1.7085,0.00113191,0.00113191,0.00113191
23,494.277,1.51659,1.88115,1.51445,0.68094,0.38571,0.3899,0.28682,2.05234,2.23442,1.89475,0.00111776,0.00111776,0.00111776
24,517.634,1.47161,1.79243,1.48584,0.6157,0.38488,0.37483,0.2786,1.89895,2.19832,1.76792,0.00110362,0.00110362,0.00110362
25,537.835,1.46703,1.80191,1.48229,0.67372,0.37033,0.39215,0.29042,1.75225,2.18946,1.73648,0.00108947,0.00108947,0.00108947
26,559.136,1.4976,1.82812,1.50042,0.69491,0.36714,0.38467,0.27946,1.79226,2.18591,1.74939,0.00107532,0.00107532,0.00107532
27,580.004,1.48412,1.81163,1.495,0.68395,0.39584,0.40859,0.29913,1.76513,2.1205,1.70468,0.00106118,0.00106118,0.00106118
28,600.534,1.43191,1.71747,1.4542,0.78089,0.37877,0.40591,0.29926,1.8435,2.17326,1.74039,0.00104703,0.00104703,0.00104703
29,621.13,1.44944,1.73112,1.47738,0.68703,0.39364,0.401,0.29631,1.74434,2.13027,1.69946,0.00103288,0.00103288,0.00103288
30,642.582,1.42614,1.71694,1.46493,0.75014,0.38317,0.42098,0.31015,1.74577,2.1203,1.70949,0.00101873,0.00101873,0.00101873
31,663.112,1.40901,1.68287,1.45846,0.77001,0.35723,0.41384,0.30293,1.71861,2.14303,1.7043,0.00100459,0.00100459,0.00100459
32,683.593,1.42129,1.6797,1.46251,0.72093,0.39382,0.40818,0.29992,1.76559,2.13608,1.69976,0.00099044,0.00099044,0.00099044
33,703.891,1.41489,1.73536,1.45697,0.73367,0.37994,0.42805,0.31723,1.68303,2.11061,1.65725,0.000976293,0.000976293,0.000976293
34,723.7,1.36882,1.62006,1.42983,0.66199,0.38785,0.4283,0.31468,1.66885,2.07001,1.64804,0.000962146,0.000962146,0.000962146
35,743.159,1.38263,1.67463,1.43444,0.71957,0.38976,0.43502,0.32628,1.66748,2.00834,1.66026,0.000947999,0.000947999,0.000947999
36,762.98,1.36991,1.60208,1.4128,0.75866,0.38139,0.43469,0.32026,1.64709,2.09827,1.63524,0.000933851,0.000933851,0.000933851
37,783.108,1.35342,1.59712,1.41046,0.75583,0.36675,0.43246,0.31134,1.69476,2.04598,1.66501,0.000919704,0.000919704,0.000919704
38,802.799,1.34333,1.61946,1.40986,0.6832,0.38639,0.43387,0.31846,1.64998,2.05617,1.6476,0.000905557,0.000905557,0.000905557
39,825.336,1.37495,1.64265,1.43668,0.7255,0.38236,0.44705,0.33299,1.65266,2.07526,1.68907,0.00089141,0.00089141,0.00089141
40,845.99,1.37733,1.63362,1.45194,0.71671,0.38355,0.44054,0.31898,1.70806,2.08798,1.67668,0.000877263,0.000877263,0.000877263
41,866.064,1.29588,1.50574,1.36892,0.78899,0.39337,0.46209,0.33652,1.64019,2.01523,1.61983,0.000863116,0.000863116,0.000863116
42,892.222,1.32064,1.50666,1.3822,0.68539,0.36782,0.42537,0.31462,1.69371,2.08635,1.67337,0.000848969,0.000848969,0.000848969
43,917.102,1.33649,1.53956,1.40439,0.7827,0.39704,0.46386,0.3391,1.66116,2.03452,1.63183,0.000834822,0.000834822,0.000834822
44,938.847,1.31533,1.51362,1.39116,0.76468,0.3865,0.45484,0.33817,1.62875,1.99197,1.63848,0.000820675,0.000820675,0.000820675
45,960.399,1.36939,1.60876,1.44866,0.79818,0.37769,0.46061,0.3409,1.67603,1.97156,1.66289,0.000806528,0.000806528,0.000806528
46,980.615,1.2831,1.45544,1.35998,0.81304,0.40466,0.48227,0.34708,1.67114,1.92638,1.62572,0.00079238,0.00079238,0.00079238
47,1002.71,1.31429,1.50755,1.37317,0.83275,0.39551,0.47054,0.34531,1.63182,1.99277,1.63516,0.000778233,0.000778233,0.000778233
48,1022.82,1.33026,1.50986,1.39478,0.8171,0.4081,0.48051,0.3555,1.56074,1.96158,1.60817,0.000764086,0.000764086,0.000764086
49,1044.49,1.33926,1.52508,1.39898,0.83972,0.38788,0.47027,0.34417,1.7144,1.96141,1.67668,0.000749939,0.000749939,0.000749939
50,1065.07,1.32666,1.47944,1.39205,0.78269,0.39977,0.47758,0.35638,1.62663,1.95622,1.64089,0.000735792,0.000735792,0.000735792
51,1086.26,1.25241,1.39741,1.34927,0.82097,0.40379,0.47608,0.34912,1.62736,1.97007,1.62413,0.000721645,0.000721645,0.000721645
52,1106.52,1.32811,1.52662,1.40156,0.77837,0.41851,0.48374,0.35965,1.59258,1.93889,1.60471,0.000707498,0.000707498,0.000707498
53,1128.17,1.2444,1.43171,1.3614,0.78109,0.40947,0.48626,0.36003,1.58733,1.915,1.61847,0.000693351,0.000693351,0.000693351
54,1148.29,1.27566,1.44974,1.3607,0.78853,0.3967,0.48548,0.36297,1.5526,1.93695,1.60506,0.000679204,0.000679204,0.000679204
55,1168.94,1.25136,1.39731,1.35593,0.83424,0.38457,0.46915,0.34545,1.59514,1.95907,1.61467,0.000665057,0.000665057,0.000665057
56,1190.61,1.23358,1.37121,1.33694,0.88089,0.38284,0.48007,0.36154,1.62504,1.91643,1.61916,0.000650909,0.000650909,0.000650909
57,1211.3,1.24213,1.37582,1.35178,0.837,0.41411,0.49727,0.36491,1.62695,1.91829,1.64155,0.000636762,0.000636762,0.000636762
58,1231.56,1.23991,1.41975,1.34951,0.82785,0.40183,0.49007,0.36646,1.54197,1.94395,1.60029,0.000622615,0.000622615,0.000622615
59,1251.87,1.24677,1.4087,1.35076,0.84278,0.39488,0.47841,0.35944,1.59676,1.93242,1.61576,0.000608468,0.000608468,0.000608468
60,1271.83,1.19036,1.32248,1.31874,0.81459,0.41533,0.49727,0.36418,1.58024,1.88991,1.62412,0.000594321,0.000594321,0.000594321
61,1291.74,1.21005,1.35532,1.34279,0.77467,0.42282,0.50549,0.37605,1.55598,1.86629,1.59761,0.000580174,0.000580174,0.000580174
62,1313.48,1.19508,1.30068,1.32893,0.86724,0.41305,0.50579,0.37135,1.59066,1.87583,1.60719,0.000566027,0.000566027,0.000566027
63,1334.59,1.21928,1.35262,1.34069,0.7852,0.41242,0.50057,0.36184,1.57778,1.94121,1.60787,0.00055188,0.00055188,0.00055188
64,1354.56,1.23186,1.37466,1.34873,0.9012,0.41052,0.49746,0.37068,1.58408,1.89245,1.60463,0.000537733,0.000537733,0.000537733
65,1376.29,1.19847,1.30658,1.33342,0.7531,0.4252,0.49871,0.36977,1.53808,1.8763,1.60749,0.000523586,0.000523586,0.000523586
66,1397.02,1.1782,1.27091,1.31794,0.86125,0.41305,0.51154,0.37723,1.51339,1.86637,1.57508,0.000509438,0.000509438,0.000509438
67,1417.34,1.18129,1.29518,1.31606,0.82761,0.41766,0.50805,0.37627,1.55251,1.87617,1.59616,0.000495291,0.000495291,0.000495291
68,1438.94,1.19879,1.30502,1.31234,0.81331,0.41814,0.50764,0.36688,1.59147,1.90191,1.60275,0.000481144,0.000481144,0.000481144
69,1459.97,1.16068,1.23646,1.30331,0.84296,0.42321,0.51241,0.38075,1.56207,1.87826,1.6029,0.000466997,0.000466997,0.000466997
70,1480.69,1.15138,1.2507,1.28657,0.85438,0.41784,0.51329,0.37413,1.54688,1.8892,1.59534,0.00045285,0.00045285,0.00045285
71,1501.36,1.21294,1.31847,1.3342,0.9173,0.41214,0.51719,0.36965,1.53974,1.86634,1.59234,0.000438703,0.000438703,0.000438703
72,1521.27,1.18149,1.29592,1.31494,0.84345,0.4006,0.49798,0.36555,1.52819,1.88871,1.57498,0.000424556,0.000424556,0.000424556
73,1542.37,1.16625,1.25148,1.27956,0.85403,0.40937,0.50374,0.36989,1.53482,1.88561,1.58698,0.000410409,0.000410409,0.000410409
74,1562.96,1.14865,1.22175,1.27527,0.87516,0.41814,0.51802,0.37324,1.56734,1.86771,1.60512,0.000396262,0.000396262,0.000396262
75,1582.87,1.17476,1.25328,1.30416,0.91732,0.41267,0.51861,0.3797,1.52588,1.82254,1.58108,0.000382115,0.000382115,0.000382115
76,1603.62,1.17837,1.27243,1.29965,0.82576,0.42461,0.51946,0.37849,1.52751,1.8695,1.59517,0.000367967,0.000367967,0.000367967
77,1625.47,1.17134,1.27138,1.29671,0.89643,0.41155,0.51817,0.38049,1.51201,1.82509,1.57119,0.00035382,0.00035382,0.00035382
78,1646.53,1.14567,1.21908,1.29337,0.84925,0.40872,0.49952,0.36771,1.55495,1.85466,1.60613,0.000339673,0.000339673,0.000339673
79,1667.86,1.14231,1.21152,1.27213,0.83871,0.44007,0.53303,0.38973,1.51794,1.81651,1.58074,0.000325526,0.000325526,0.000325526
80,1688.82,1.1351,1.18963,1.27498,0.77159,0.46361,0.53142,0.39064,1.51917,1.82569,1.58839,0.000311379,0.000311379,0.000311379
81,1709,1.1058,1.19683,1.27026,0.77473,0.44874,0.53259,0.39322,1.5054,1.81569,1.5847,0.000297232,0.000297232,0.000297232
82,1730.67,1.102,1.14451,1.24477,0.89309,0.43247,0.53303,0.38851,1.54114,1.82503,1.59292,0.000283085,0.000283085,0.000283085
83,1751.27,1.13157,1.21015,1.27766,0.82168,0.45159,0.53556,0.38769,1.52215,1.82711,1.60226,0.000268938,0.000268938,0.000268938
84,1771.34,1.12102,1.18442,1.27021,0.80073,0.47028,0.5336,0.38343,1.51643,1.86039,1.60456,0.000254791,0.000254791,0.000254791
85,1793.03,1.09915,1.16207,1.24171,0.83134,0.45519,0.54037,0.38774,1.51878,1.81543,1.60676,0.000240644,0.000240644,0.000240644
86,1813.63,1.10078,1.16626,1.23748,0.82616,0.46443,0.53645,0.38717,1.50856,1.82391,1.59301,0.000226497,0.000226497,0.000226497
87,1834.19,1.06587,1.12875,1.23404,0.81944,0.4517,0.52919,0.39582,1.49133,1.83302,1.59128,0.000212349,0.000212349,0.000212349
88,1854.84,1.11592,1.20004,1.26274,0.77107,0.45011,0.53244,0.39282,1.51025,1.82012,1.59531,0.000198202,0.000198202,0.000198202
89,1875.18,1.08899,1.14372,1.24614,0.83086,0.4451,0.54305,0.39563,1.48392,1.83517,1.57327,0.000184055,0.000184055,0.000184055
90,1895.87,1.1055,1.19289,1.25851,0.86953,0.44775,0.54961,0.39984,1.5061,1.8376,1.57617,0.000169908,0.000169908,0.000169908
91,1936.84,1.0618,1.12646,1.2712,0.87805,0.43276,0.53527,0.39329,1.5225,1.85916,1.59837,0.000155761,0.000155761,0.000155761
92,1957.85,1.03121,1.06405,1.24524,0.96007,0.41419,0.54093,0.39472,1.51136,1.80512,1.5925,0.000141614,0.000141614,0.000141614
93,1978.27,1.00608,1.04045,1.23873,0.85851,0.4418,0.54732,0.40025,1.50083,1.79654,1.5778,0.000127467,0.000127467,0.000127467
94,1997.8,0.99485,1.03923,1.23252,0.93361,0.42145,0.54818,0.39762,1.50795,1.79672,1.58226,0.00011332,0.00011332,0.00011332
95,2017.45,1.00471,1.01843,1.22813,0.94945,0.41931,0.54908,0.39949,1.49753,1.79197,1.58139,9.91726e-05,9.91726e-05,9.91726e-05
96,2039.22,0.9821,0.99601,1.21677,0.86364,0.44252,0.55279,0.39945,1.50248,1.78153,1.58871,8.50255e-05,8.50255e-05,8.50255e-05
97,2059.54,0.96974,0.99964,1.22012,0.92069,0.432,0.55905,0.40214,1.49239,1.78693,1.58439,7.08784e-05,7.08784e-05,7.08784e-05
98,2079.13,0.97907,1.00028,1.21587,0.81535,0.46443,0.55795,0.40575,1.49744,1.77327,1.57884,5.67313e-05,5.67313e-05,5.67313e-05
99,2099.5,0.98726,1.00531,1.22466,0.94078,0.42946,0.55905,0.40376,1.50382,1.78818,1.58906,4.25842e-05,4.25842e-05,4.25842e-05
100,2119.17,0.95245,0.97002,1.19745,0.95353,0.42437,0.56078,0.40632,1.49752,1.77718,1.58803,2.84371e-05,2.84371e-05,2.84371e-05
