epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6421,1.4758,3.01364,1.29762,0.61847,0.79717,0.6761,0.36276,1.38359,1.81208,1.29706,0.000473952,0.000473952,0.000473952
2,69.6016,1.34798,1.867,1.24715,0.64557,0.84716,0.70649,0.45063,1.19964,1.22221,1.18507,0.000940877,0.000940877,0.000940877
3,101.338,1.36981,1.48266,1.26233,0.63863,0.81784,0.73578,0.49299,1.14704,1.12267,1.15776,0.00139837,0.00139837,0.00139837
4,133.421,1.31548,1.24282,1.21807,0.67487,0.88334,0.7772,0.52902,1.11513,1.0153,1.1445,0.00138656,0.00138656,0.00138656
5,164.861,1.2703,1.12973,1.21039,0.7937,0.83235,0.877,0.60447,1.0032,0.93771,1.08347,0.00137241,0.00137241,0.00137241
6,196.473,1.25439,1.05802,1.18635,0.66428,0.85656,0.83632,0.53895,1.15574,0.99921,1.1386,0.00135826,0.00135826,0.00135826
7,228.906,1.21897,0.98796,1.16667,0.69087,0.8103,0.86258,0.64274,0.88251,0.93407,1.03222,0.00134412,0.00134412,0.00134412
8,261.279,1.17112,0.9157,1.15173,0.53873,0.94147,0.65823,0.50103,0.88056,2.42403,1.043,0.00132997,0.00132997,0.00132997
9,293.7,1.16204,0.88746,1.14346,0.66178,0.75805,0.81719,0.61519,0.87522,0.92048,1.03889,0.00131582,0.00131582,0.00131582
10,326.274,1.12531,0.8441,1.12466,0.67663,0.87857,0.88402,0.66563,0.85076,0.84168,1.01474,0.00130168,0.00130168,0.00130168
11,358.569,1.09968,0.8183,1.11886,0.81227,0.81147,0.90486,0.67413,0.88437,0.80128,1.04232,0.00128753,0.00128753,0.00128753
12,391.139,1.09517,0.81318,1.10256,0.86122,0.82957,0.94639,0.72887,0.845,0.73453,1.00809,0.00127338,0.00127338,0.00127338
13,423.52,1.08728,0.79546,1.11373,0.76299,0.90108,0.90445,0.71141,0.81926,0.71478,0.99963,0.00125923,0.00125923,0.00125923
14,455.897,1.069,0.7846,1.08776,0.74926,0.91612,0.90467,0.7207,0.79598,0.70334,0.99719,0.00124509,0.00124509,0.00124509
15,488.324,1.05616,0.76035,1.09269,0.80756,0.86128,0.90777,0.69462,0.82991,0.69258,1.02571,0.00123094,0.00123094,0.00123094
16,520.997,1.0672,0.74873,1.09732,0.801,0.89077,0.92099,0.75792,0.7235,0.65528,0.9714,0.00121679,0.00121679,0.00121679
17,553.633,1.03891,0.73936,1.08291,0.81949,0.88171,0.94763,0.7478,0.78983,0.63357,0.98879,0.00120265,0.00120265,0.00120265
18,586.093,1.02593,0.72452,1.07071,0.8574,0.84977,0.93685,0.7574,0.74762,0.61562,0.95668,0.0011885,0.0011885,0.0011885
19,617.793,1.01758,0.70657,1.07287,0.88865,0.81597,0.92356,0.71767,0.78666,0.6457,0.97896,0.00117435,0.00117435,0.00117435
20,649.302,1.01626,0.72232,1.06043,0.84452,0.79934,0.87254,0.71371,0.72316,0.66766,0.95228,0.00116021,0.00116021,0.00116021
21,680.988,0.97399,0.68213,1.04492,0.83672,0.87937,0.89867,0.73549,0.69745,0.68968,0.95178,0.00114606,0.00114606,0.00114606
22,712.549,0.96755,0.68438,1.04831,0.7955,0.86023,0.87118,0.70561,0.73364,0.75258,0.95748,0.00113191,0.00113191,0.00113191
23,744.319,0.97592,0.66987,1.05176,0.79985,0.93191,0.92993,0.75929,0.74847,0.61253,0.96924,0.00111776,0.00111776,0.00111776
24,776.036,0.96966,0.66396,1.04275,0.82392,0.95128,0.93045,0.75423,0.71848,0.5821,0.94383,0.00110362,0.00110362,0.00110362
25,807.687,0.98147,0.67317,1.04924,0.86128,0.90028,0.9524,0.76873,0.72641,0.57263,0.95455,0.00108947,0.00108947,0.00108947
26,840.093,0.95007,0.64317,1.03153,0.85661,0.92714,0.94926,0.77481,0.71491,0.55244,0.95563,0.00107532,0.00107532,0.00107532
27,873.305,0.94184,0.6429,1.02978,0.86693,0.94438,0.95048,0.79267,0.67085,0.51815,0.93388,0.00106118,0.00106118,0.00106118
28,905.801,0.95577,0.64129,1.03833,0.92339,0.91567,0.96371,0.80386,0.68751,0.51633,0.94378,0.00104703,0.00104703,0.00104703
29,938.45,0.94762,0.6417,1.02949,0.86357,0.9464,0.95671,0.79052,0.70323,0.51767,0.934,0.00103288,0.00103288,0.00103288
30,971.052,0.93591,0.62949,1.02806,0.90528,0.89471,0.95253,0.80089,0.63592,0.49567,0.92537,0.00101873,0.00101873,0.00101873
31,1003.73,0.91507,0.61734,1.02729,0.90247,0.89081,0.94875,0.79582,0.66298,0.52276,0.92078,0.00100459,0.00100459,0.00100459
32,1036.19,0.92981,0.60997,1.01313,0.8492,0.95565,0.94064,0.78376,0.68119,0.51776,0.93352,0.00099044,0.00099044,0.00099044
33,1068.85,0.91776,0.61133,1.01849,0.91868,0.90461,0.96132,0.82119,0.63586,0.49075,0.91465,0.000976293,0.000976293,0.000976293
34,1101.41,0.90402,0.60411,1.01261,0.92114,0.92456,0.95583,0.81091,0.63256,0.48487,0.91779,0.000962146,0.000962146,0.000962146
35,1134.29,0.88948,0.58149,1.00212,0.89846,0.93117,0.96459,0.82676,0.6435,0.47892,0.91957,0.000947999,0.000947999,0.000947999
36,1167.3,0.89308,0.58477,1.00821,0.86769,0.92695,0.95523,0.78182,0.68776,0.51058,0.93008,0.000933851,0.000933851,0.000933851
37,1200.09,0.86914,0.58409,0.99437,0.89665,0.90716,0.95861,0.81234,0.61261,0.51199,0.90075,0.000919704,0.000919704,0.000919704
38,1232.64,0.87174,0.58045,0.99483,0.95371,0.90692,0.96958,0.83396,0.60973,0.44909,0.90095,0.000905557,0.000905557,0.000905557
39,1264.99,0.85902,0.55988,1.00504,0.9381,0.91162,0.97007,0.82254,0.62919,0.45918,0.92065,0.00089141,0.00089141,0.00089141
40,1297.39,0.87764,0.56063,0.99721,0.85502,0.91091,0.95551,0.81552,0.61398,0.50641,0.90323,0.000877263,0.000877263,0.000877263
41,1329.76,0.8677,0.572,0.99821,0.88409,0.92264,0.96698,0.82291,0.59236,0.48404,0.90267,0.000863116,0.000863116,0.000863116
42,1362.14,0.83201,0.54483,0.98443,0.95366,0.91595,0.97156,0.82087,0.60765,0.44344,0.90245,0.000848969,0.000848969,0.000848969
43,1394.45,0.87844,0.56962,1.00668,0.92101,0.93156,0.97087,0.81859,0.62143,0.44876,0.91441,0.000834822,0.000834822,0.000834822
44,1427.05,0.86169,0.5542,0.9984,0.95504,0.88181,0.9667,0.82837,0.59753,0.44729,0.90362,0.000820675,0.000820675,0.000820675
45,1459.37,0.85125,0.54869,0.98471,0.88494,0.96389,0.96747,0.83068,0.59554,0.44703,0.89941,0.000806528,0.000806528,0.000806528
46,1491.96,0.82908,0.54063,0.98008,0.97662,0.89229,0.96964,0.83303,0.59294,0.42798,0.89784,0.00079238,0.00079238,0.00079238
47,1524.68,0.8597,0.56851,0.99726,0.94684,0.89181,0.96554,0.83166,0.59408,0.45459,0.89955,0.000778233,0.000778233,0.000778233
48,1557.41,0.82515,0.52961,0.97604,0.96033,0.89267,0.96973,0.84213,0.58655,0.43557,0.89392,0.000764086,0.000764086,0.000764086
49,1589.83,0.83816,0.53378,0.98206,0.8959,0.95268,0.96581,0.84091,0.56557,0.44017,0.88479,0.000749939,0.000749939,0.000749939
