epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8684,0.75461,2.0622,1.19197,0.72172,0.77637,0.83413,0.63005,1.0277,1.6398,1.56461,0.000473093,0.000473093,0.000473093
2,50.4894,0.71455,1.12733,1.14196,0.46461,0.468,0.45973,0.32618,1.20563,2.32768,1.69392,0.000940027,0.000940027,0.000940027
3,73.6224,0.72536,0.91782,1.14941,0.64342,0.70916,0.79952,0.59744,0.90867,1.44797,1.41046,0.00139753,0.00139753,0.00139753
4,98.6556,0.69116,0.74276,1.13035,0.84135,0.77737,0.83645,0.68653,0.78087,1.07055,1.27401,0.00138656,0.00138656,0.00138656
5,122.791,0.6768,0.64664,1.12116,0.87723,0.75443,0.81928,0.66624,0.80929,1.00452,1.29123,0.00137241,0.00137241,0.00137241
6,147.36,0.64909,0.57456,1.09675,0.89319,0.87655,0.964,0.80908,0.72353,0.57062,1.23117,0.00135826,0.00135826,0.00135826
7,172.443,0.63964,0.54039,1.09259,0.98403,0.85921,0.90865,0.78099,0.72394,0.70549,1.32541,0.00134412,0.00134412,0.00134412
8,196.546,0.60407,0.51215,1.07153,0.98341,0.90116,0.9837,0.83963,0.66753,0.42677,1.25631,0.00132997,0.00132997,0.00132997
9,222.133,0.59681,0.49026,1.07464,0.96924,0.88507,0.96322,0.81048,0.74821,0.52199,1.28274,0.00131582,0.00131582,0.00131582
10,246.041,0.61509,0.48657,1.08252,0.9834,0.90058,0.95072,0.80494,0.71738,0.60247,1.18384,0.00130168,0.00130168,0.00130168
11,271.087,0.58589,0.44887,1.055,0.93775,0.86493,0.96881,0.79689,0.81847,0.61229,1.39792,0.00128753,0.00128753,0.00128753
12,295.15,0.58381,0.44668,1.06159,0.92734,0.9936,0.98919,0.80947,0.81742,0.52706,1.38738,0.00127338,0.00127338,0.00127338
13,319.711,0.56807,0.4282,1.04877,0.9803,0.89441,0.91362,0.82695,0.72406,0.75337,1.28829,0.00125923,0.00125923,0.00125923
14,343.799,0.55696,0.4203,1.04985,0.98485,0.90045,0.92156,0.83928,0.69727,0.6417,1.25953,0.00124509,0.00124509,0.00124509
15,367.795,0.56902,0.40607,1.05175,0.99152,0.90614,0.92252,0.83195,0.68842,0.65206,1.2781,0.00123094,0.00123094,0.00123094
