epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8331,0.77416,3.95779,1.23466,0.79919,0.50797,0.66324,0.56718,0.82872,1.821,1.2627,8.70703e-05,8.70703e-05,8.70703e-05
2,52.4733,0.63934,1.93242,1.11351,0.86236,0.82844,0.85274,0.75128,0.75222,1.01907,1.24456,0.000173007,0.000173007,0.000173007
3,76.6383,0.5879,1.16976,1.08319,0.9704,0.91209,0.91439,0.80528,0.70723,0.74022,1.22101,0.000257208,0.000257208,0.000257208
4,100.575,0.57726,0.93919,1.06939,0.96374,0.89327,0.94699,0.81233,0.76421,0.83019,1.31571,0.000255189,0.000255189,0.000255189
5,124.339,0.55262,0.80293,1.05313,0.9953,0.91152,0.93313,0.82124,0.68117,0.6386,1.18622,0.000252585,0.000252585,0.000252585
6,148.112,0.54563,0.71081,1.03793,0.98954,0.90536,0.95392,0.82318,0.71416,0.66998,1.2794,0.000249981,0.000249981,0.000249981
7,171.776,0.53607,0.65098,1.02993,0.999,0.91209,0.95955,0.82585,0.72629,0.60354,1.2581,0.000247378,0.000247378,0.000247378
8,195.404,0.51516,0.60111,1.01572,0.99559,0.88642,0.98881,0.85233,0.72078,0.6731,1.30672,0.000244774,0.000244774,0.000244774
9,219.904,0.51232,0.56823,1.02441,0.99597,0.91209,0.99223,0.84594,0.72202,0.60092,1.26347,0.00024217,0.00024217,0.00024217
10,244.708,0.51137,0.52822,1.01961,0.99652,0.90914,0.9142,0.83526,0.70775,0.68811,1.21227,0.000239567,0.000239567,0.000239567
11,269.535,0.49285,0.488,1.00628,0.994,0.91064,0.95264,0.83188,0.75156,0.61525,1.24478,0.000236963,0.000236963,0.000236963
12,294.193,0.49624,0.47166,1.01149,0.98215,0.90683,0.93209,0.83012,0.69839,0.58232,1.37082,0.000234359,0.000234359,0.000234359
13,318.869,0.48763,0.44018,1.00484,0.99627,0.91209,0.98069,0.8525,0.69688,0.58464,1.22622,0.000231756,0.000231756,0.000231756
14,343.34,0.47412,0.42164,1.0008,0.99706,0.91209,0.92008,0.84648,0.66196,0.58301,1.24981,0.000229152,0.000229152,0.000229152
15,368.031,0.48233,0.41488,1.00326,0.99555,0.91209,0.94292,0.8397,0.64995,0.58458,1.29008,0.000226548,0.000226548,0.000226548
16,392.776,0.4682,0.39483,0.99271,0.99548,0.91209,0.98642,0.85264,0.71546,0.58462,1.2732,0.000223945,0.000223945,0.000223945
17,417.423,0.47361,0.38511,0.99628,0.99546,0.91209,0.91808,0.83,0.68024,0.62031,1.19273,0.000221341,0.000221341,0.000221341
18,441.876,0.46651,0.37868,0.99033,0.96628,0.89569,0.90642,0.81494,0.73358,0.72578,1.35697,0.000218737,0.000218737,0.000218737
19,466.464,0.46494,0.3754,0.99183,0.99871,0.91209,0.94857,0.85561,0.63264,0.49619,1.22655,0.000216133,0.000216133,0.000216133
20,491.623,0.45877,0.35936,0.98543,0.99799,0.91209,0.92087,0.84797,0.71242,0.67986,1.31216,0.00021353,0.00021353,0.00021353
21,518.412,0.45827,0.35043,0.98636,0.99487,0.91209,0.92131,0.84771,0.64317,0.62253,1.25034,0.000210926,0.000210926,0.000210926
22,545.782,0.44337,0.33897,0.97936,0.99037,0.9114,0.92592,0.85475,0.6624,0.5776,1.12181,0.000208322,0.000208322,0.000208322
23,571.931,0.45474,0.33675,0.98538,0.99836,0.91209,0.92903,0.84476,0.61383,0.53566,1.18664,0.000205719,0.000205719,0.000205719
24,596.548,0.44729,0.33324,0.98591,0.99877,0.91209,0.94339,0.84715,0.6344,0.50356,1.2621,0.000203115,0.000203115,0.000203115
25,621.073,0.44279,0.32832,0.98063,0.99999,0.88999,0.92592,0.84969,0.67234,0.59835,1.40982,0.000200511,0.000200511,0.000200511
26,645.641,0.44803,0.32454,0.98402,0.99802,0.91209,0.9212,0.84546,0.68013,0.60176,1.31052,0.000197907,0.000197907,0.000197907
27,670.42,0.44522,0.31757,0.97626,0.9987,0.90989,0.92047,0.85183,0.67102,0.57719,1.22688,0.000195304,0.000195304,0.000195304
28,695.005,0.43987,0.31506,0.97562,0.9965,0.91209,0.92466,0.85727,0.7064,0.61964,1.35815,0.0001927,0.0001927,0.0001927
29,719.665,0.44497,0.31473,0.98119,0.99795,0.91209,0.91934,0.84947,0.62933,0.60656,1.15035,0.000190096,0.000190096,0.000190096
30,744.215,0.44032,0.30167,0.97707,0.99756,0.91209,0.92373,0.86451,0.71641,0.58623,1.23139,0.000187493,0.000187493,0.000187493
31,768.817,0.43704,0.30195,0.97259,0.99471,0.91209,0.92635,0.85659,0.61824,0.57241,1.15785,0.000184889,0.000184889,0.000184889
32,793.491,0.42963,0.29441,0.97362,0.99801,0.91209,0.92077,0.85598,0.71225,0.57968,1.35423,0.000182285,0.000182285,0.000182285
33,818.327,0.43692,0.29204,0.97563,0.99609,0.91209,0.9331,0.86778,0.69656,0.57687,1.25429,0.000179682,0.000179682,0.000179682
34,843.152,0.42993,0.29124,0.97469,0.99756,0.91209,0.92503,0.85869,0.661,0.58253,1.23736,0.000177078,0.000177078,0.000177078
35,868.279,0.41723,0.27759,0.96611,0.99594,0.91209,0.92305,0.85187,0.64775,0.61576,1.18984,0.000174474,0.000174474,0.000174474
36,893.141,0.42021,0.28304,0.96985,0.99745,0.90956,0.92485,0.86044,0.59867,0.58706,1.14073,0.000171871,0.000171871,0.000171871
37,917.949,0.42162,0.28481,0.96506,0.99488,0.91209,0.97093,0.86471,0.66554,0.5587,1.25855,0.000169267,0.000169267,0.000169267
38,942.648,0.42624,0.27975,0.96847,0.99828,0.91209,0.94136,0.87806,0.67131,0.73089,1.19293,0.000166663,0.000166663,0.000166663
39,967.682,0.41385,0.27682,0.96424,0.99815,0.91209,0.93352,0.86733,0.6408,0.55928,1.10117,0.000164059,0.000164059,0.000164059
40,992.547,0.41903,0.27872,0.96135,0.99754,0.91209,0.93464,0.86111,0.63772,0.55759,1.1524,0.000161456,0.000161456,0.000161456
41,1017.62,0.4061,0.26975,0.95555,0.99888,0.91209,0.93664,0.87482,0.67531,0.70778,1.24775,0.000158852,0.000158852,0.000158852
42,1042.51,0.41616,0.27401,0.96778,0.99801,0.91209,0.92551,0.8703,0.66091,0.48671,1.1495,0.000156248,0.000156248,0.000156248
43,1067.53,0.41708,0.26211,0.96914,0.99495,0.91209,0.98136,0.87979,0.67879,0.58148,1.31204,0.000153645,0.000153645,0.000153645
44,1092.48,0.41287,0.26815,0.96111,0.99872,0.91209,0.94064,0.87638,0.65316,0.51138,1.23307,0.000151041,0.000151041,0.000151041
45,1117.4,0.40847,0.26684,0.96218,0.999,0.91209,0.93664,0.87398,0.65719,0.61691,1.13859,0.000148437,0.000148437,0.000148437
46,1142.09,0.40268,0.2661,0.96109,0.99795,0.91209,0.93836,0.8796,0.60819,0.66636,1.07818,0.000145834,0.000145834,0.000145834
47,1167.6,0.40868,0.26379,0.9591,0.99858,0.91209,0.93155,0.87046,0.69934,0.63665,1.25036,0.00014323,0.00014323,0.00014323
48,1193.42,0.40431,0.25646,0.95807,0.99906,0.91209,0.93585,0.87321,0.62885,0.58666,1.12909,0.000140626,0.000140626,0.000140626
49,1219.47,0.40791,0.25898,0.96276,0.9986,0.91209,0.93611,0.87334,0.63052,0.58213,1.09336,0.000138022,0.000138022,0.000138022
50,1244.57,0.40794,0.25885,0.95895,0.99846,0.91209,0.93776,0.88197,0.69952,0.6097,1.19862,0.000135419,0.000135419,0.000135419
51,1269.89,0.39887,0.25979,0.95987,0.99616,0.91146,0.93535,0.86879,0.72533,0.69673,1.22611,0.000132815,0.000132815,0.000132815
52,1294.9,0.40132,0.25256,0.95827,0.99889,0.91209,0.94414,0.88612,0.60963,0.49682,1.08381,0.000130211,0.000130211,0.000130211
53,1320.54,0.39371,0.25135,0.96075,0.99788,0.91178,0.94458,0.88353,0.66075,0.64357,1.17051,0.000127608,0.000127608,0.000127608
54,1345.4,0.39312,0.25142,0.95475,0.99873,0.91209,0.93776,0.87703,0.63051,0.51562,1.10545,0.000125004,0.000125004,0.000125004
55,1373.17,0.39189,0.25131,0.95446,0.99869,0.91209,0.93962,0.87357,0.6826,0.62274,1.19186,0.0001224,0.0001224,0.0001224
56,1402.14,0.38626,0.24496,0.95237,0.99877,0.91209,0.9425,0.88503,0.67607,0.64904,1.15219,0.000119796,0.000119796,0.000119796
57,1429.39,0.38957,0.24566,0.9522,0.99887,0.91209,0.93962,0.88196,0.68567,0.63431,1.17623,0.000117193,0.000117193,0.000117193
58,1456.88,0.39279,0.24628,0.95663,0.99875,0.91209,0.9425,0.87823,0.68193,0.52643,1.11795,0.000114589,0.000114589,0.000114589
59,1484.13,0.38748,0.24168,0.94956,0.9916,0.91209,0.94205,0.87669,0.71226,0.58816,1.17865,0.000111985,0.000111985,0.000111985
60,1510.79,0.39173,0.24339,0.9552,0.99847,0.91209,0.94211,0.88453,0.6732,0.53416,1.20441,0.000109382,0.000109382,0.000109382
61,1538.17,0.39378,0.24223,0.9563,0.9982,0.91209,0.94549,0.88752,0.65899,0.54316,1.17971,0.000106778,0.000106778,0.000106778
62,1564.24,0.3939,0.24348,0.95402,0.99762,0.91209,0.94173,0.8858,0.69323,0.55253,1.29652,0.000104174,0.000104174,0.000104174
63,1589.01,0.38563,0.2405,0.95217,0.99767,0.91209,0.94503,0.88895,0.68021,0.59195,1.30256,0.000101571,0.000101571,0.000101571
64,1613.68,0.38427,0.23678,0.94842,0.9989,0.91209,0.9425,0.87956,0.66135,0.60958,1.26265,9.89669e-05,9.89669e-05,9.89669e-05
65,1638.69,0.37818,0.23554,0.94749,0.999,0.91209,0.94796,0.89714,0.62122,0.58808,1.14097,9.63632e-05,9.63632e-05,9.63632e-05
66,1663.87,0.37407,0.2316,0.94823,0.99874,0.91209,0.9425,0.88697,0.74585,0.74749,1.29225,9.37595e-05,9.37595e-05,9.37595e-05
67,1689.28,0.37647,0.23113,0.94671,0.99875,0.91209,0.94596,0.88988,0.61468,0.62673,1.11344,9.11558e-05,9.11558e-05,9.11558e-05
